feature,test,swap,msr,tt,metric,stat,pval,fdr
num,chi2,1,FI,bbd,IF,-0.12150078057572491,0.1753292142137311,0.4007524896313854
num,chi2,1,FI,bbd,citation,-0.011721132497328144,0.8963586643504079,0.956115908640435
num,chi2,1,FI,bbd,h_index,0.16630145050007286,0.06272911299971846,0.2007331615990991
num,chi2,1,FI,bbd,plum1,0.11002867556135089,0.2200152611520648,0.4400305223041296
num,chi2,1,FI,bbd,plum2,0.03546528948315759,0.6933939330564984,0.8534079176079981
num,chi2,1,FI,bbd,wcitation,-0.01780945512562764,0.8430967184973444,0.956115908640435
num,chi2,1,FI,neg,IF,-0.42457341916507035,0.0036504220906103126,0.058406753449765
num,chi2,1,FI,neg,citation,0.11287045812148024,0.460383564432438,0.9780535773685143
num,chi2,1,FI,neg,h_index,0.042386884543600935,0.7847061470502213,0.9780535773685143
num,chi2,1,FI,neg,plum1,-0.19926788121299052,0.18941223893460016,0.939514365283153
num,chi2,1,FI,neg,plum2,-0.1453674920486991,0.3523178869811824,0.939514365283153
num,chi2,1,FI,neg,wcitation,0.17801272067317536,0.29894091672783735,0.939514365283153
num,chi2,1,FI,phn,IF,-0.10660589909323352,0.22918730840570903,0.8844690564675142
num,chi2,1,FI,phn,citation,-0.05559143644149743,0.53148820672636,0.8844690564675142
num,chi2,1,FI,phn,h_index,-0.1393329888076451,0.11530096425528548,0.8844690564675142
num,chi2,1,FQ,bbd,IF,-0.15861566511787778,0.07606973331445513,0.3678335001621947
num,chi2,1,FQ,bbd,citation,0.03814090217194801,0.6715526332189052,0.8818915954795186
num,chi2,1,FQ,bbd,h_index,0.030894835955300914,0.7312829249516211,0.8818915954795186
num,chi2,1,FQ,bbd,plum1,0.019589135990151944,0.8276496578019581,0.8818915954795186
num,chi2,1,FQ,bbd,plum2,0.05744110406053006,0.5229031852787549,0.8818915954795186
num,chi2,1,FQ,bbd,wcitation,-0.022662010842693783,0.8011356901477432,0.8818915954795186
num,chi2,1,FQ,neg,IF,-0.14030638414026447,0.3579508534944641,1.0
num,chi2,1,FQ,neg,citation,0.04741493844868067,0.7570989868117458,1.0
num,chi2,1,FQ,neg,h_index,0.09127478933647114,0.5556930650309901,1.0
num,chi2,1,FQ,neg,plum1,-0.0320060661137665,0.8346708759300029,1.0
num,chi2,1,FQ,neg,plum2,-0.11484089553789671,0.46337367200848334,1.0
num,chi2,1,FQ,neg,wcitation,0.1551735268147871,0.3661683567368881,1.0
num,chi2,1,FQ,phn,IF,-0.0197576279804505,0.8241262794123687,0.8603102686748233
num,chi2,1,FQ,phn,citation,0.0460991468776216,0.6039244031611346,0.8603102686748233
num,chi2,1,FQ,phn,h_index,-0.06531372346653756,0.4621040974260676,0.8603102686748233
num,chi2,2,FI,bbd,IF,-0.12021742401244301,0.17996694412054912,0.4113530151326837
num,chi2,2,FI,bbd,citation,0.012586355090301853,0.8887556109950882,0.916054975060483
num,chi2,2,FI,bbd,h_index,0.17390353482500323,0.051477975030749364,0.16472952009839797
num,chi2,2,FI,bbd,plum1,0.09262659230965775,0.30226497529439833,0.5373599560789304
num,chi2,2,FI,bbd,plum2,0.02547585505752171,0.7770528614594853,0.916054975060483
num,chi2,2,FI,bbd,wcitation,-0.00948447830517622,0.916054975060483,0.916054975060483
num,chi2,2,FI,neg,IF,-0.42523516312810217,0.0035923293471990772,0.057477269555185236
num,chi2,2,FI,neg,citation,0.1119366462149764,0.4641264456017522,0.9780543110915711
num,chi2,2,FI,neg,h_index,0.042953823861808606,0.781896272719881,0.9780543110915711
num,chi2,2,FI,neg,plum1,-0.19985890155392738,0.18807585837652546,0.9334572880614725
num,chi2,2,FI,neg,plum2,-0.1460472325738382,0.3500464830230522,0.9334572880614725
num,chi2,2,FI,neg,wcitation,0.17761051157198815,0.30005186349004354,0.9334572880614725
num,chi2,2,FI,phn,IF,-0.02660468368896811,0.7647241598003924,0.9400878655017729
num,chi2,2,FI,phn,citation,-0.025165319833235333,0.7771109912802944,0.9400878655017729
num,chi2,2,FI,phn,h_index,-0.08766347058896087,0.32321249363091265,0.9400878655017729
num,chi2,2,FQ,bbd,IF,-0.19661489910644916,0.02734295853217059,0.2327043924938019
num,chi2,2,FQ,bbd,citation,0.007688559077767436,0.9319076218222735,0.9489566189476631
num,chi2,2,FQ,bbd,h_index,0.030732728078122308,0.732639405610205,0.9142973839155198
num,chi2,2,FQ,bbd,plum1,-0.005760458661854087,0.9489566189476631,0.9489566189476631
num,chi2,2,FQ,bbd,plum2,0.04181811086541056,0.641979874014077,0.9142973839155198
num,chi2,2,FQ,bbd,wcitation,-0.04245111545769605,0.6369436177090719,0.9142973839155198
num,chi2,2,FQ,neg,IF,-0.1416483868580097,0.3533251674576001,1.0
num,chi2,2,FQ,neg,citation,0.045568459621750136,0.76628711432028,1.0
num,chi2,2,FQ,neg,h_index,0.09240381649486583,0.5507940118891941,1.0
num,chi2,2,FQ,neg,plum1,-0.03319269678327792,0.8286314222905,1.0
num,chi2,2,FQ,neg,plum2,-0.11620174880957687,0.45805605559325513,1.0
num,chi2,2,FQ,neg,wcitation,0.15440087854848936,0.36858914498579676,1.0
num,chi2,2,FQ,phn,IF,0.07970612657480318,0.36923582657596754,0.6938692907720132
num,chi2,2,FQ,phn,citation,0.07417087261013125,0.4035088321346232,0.6938692907720132
num,chi2,2,FQ,phn,h_index,-0.018936457970853054,0.8313250237032802,0.8652676027961494
num,chi2_cont,1,FI,bbd,IF,-0.12385876556787562,0.1670386666792379,0.3818026666954009
num,chi2_cont,1,FI,bbd,citation,-0.02066891752690872,0.8183091037318524,0.8728630439806425
num,chi2_cont,1,FI,bbd,h_index,0.17601768092190925,0.048664026323667564,0.15572488423573622
num,chi2_cont,1,FI,bbd,plum1,0.10529217948148714,0.24064041956234633,0.48128083912469266
num,chi2_cont,1,FI,bbd,plum2,0.037862016238235326,0.6738168437403635,0.8293130384496782
num,chi2_cont,1,FI,bbd,wcitation,-0.022361725303841385,0.8037172395418503,0.8728630439806425
num,chi2_cont,1,FI,neg,IF,-0.4274870316243154,0.0034006728749380035,0.05441076599900806
num,chi2_cont,1,FI,neg,citation,0.12684795291649878,0.4063473752054876,0.9339156788007368
num,chi2_cont,1,FI,neg,h_index,0.05714731216997902,0.7125296066854168,0.9339156788007368
num,chi2_cont,1,FI,neg,plum1,-0.2058571071198339,0.17489129606432857,0.9339156788007368
num,chi2_cont,1,FI,neg,plum2,-0.12775521592038674,0.41426321058326643,0.9339156788007368
num,chi2_cont,1,FI,neg,wcitation,0.19646561721846192,0.25079214394616245,0.9339156788007368
num,chi2_cont,1,FI,phn,IF,-0.11237811381208142,0.20480964716776184,0.6665499294262244
num,chi2_cont,1,FI,phn,citation,-0.05332912151652511,0.5483501596930831,0.8114648330585402
num,chi2_cont,1,FI,phn,h_index,-0.1417024332499616,0.10918678679823388,0.6665499294262244
num,chi2_cont,1,FQ,bbd,IF,-0.16404033417972613,0.0664388700703201,0.3543406403750405
num,chi2_cont,1,FQ,bbd,citation,0.020099966077922825,0.8232276807383178,0.8817915474792373
num,chi2_cont,1,FQ,bbd,h_index,0.08189275148238781,0.3619714948741337,0.7490108666276936
num,chi2_cont,1,FQ,bbd,plum1,0.05189995276698982,0.563832293790801,0.7490108666276936
num,chi2_cont,1,FQ,bbd,plum2,0.059281231741404566,0.5096526774481398,0.7490108666276936
num,chi2_cont,1,FQ,bbd,wcitation,-0.013209973598810511,0.8832818499464952,0.8832818499464952
num,chi2_cont,1,FQ,neg,IF,-0.09641971797712774,0.5286470351248841,0.989307512050867
num,chi2_cont,1,FQ,neg,citation,0.03462033717034794,0.8213782891933534,0.989307512050867
num,chi2_cont,1,FQ,neg,h_index,0.12924288291464783,0.4030789148026467,0.989307512050867
num,chi2_cont,1,FQ,neg,plum1,-0.044596066433698525,0.7711386337117045,0.989307512050867
num,chi2_cont,1,FQ,neg,plum2,-0.12594026108624162,0.42098021766160443,0.989307512050867
num,chi2_cont,1,FQ,neg,wcitation,0.17253589168569172,0.31429398581084084,0.989307512050867
num,chi2_cont,1,FQ,phn,IF,-0.029303685129366833,0.7416590197705976,0.9730906665609166
num,chi2_cont,1,FQ,phn,citation,0.05238836204215246,0.5554380700996658,0.9730906665609166
num,chi2_cont,1,FQ,phn,h_index,-0.07310065029262504,0.41034609130191924,0.9730906665609166
num,chi2_cont,2,FI,bbd,IF,-0.13156624033024045,0.1419683438902402,0.32449907174912046
num,chi2_cont,2,FI,bbd,citation,0.013628078360929425,0.8796150331500504,0.9325754723868666
num,chi2_cont,2,FI,bbd,h_index,0.17365071185698916,0.051823314722394084,0.16583460711166106
num,chi2_cont,2,FI,bbd,plum1,0.10001126647599598,0.26517985885631284,0.5254752753988109
num,chi2_cont,2,FI,bbd,plum2,0.0272538453583727,0.761942418402038,0.9325754723868666
num,chi2_cont,2,FI,bbd,wcitation,-0.007612970752799991,0.9325754723868666,0.9325754723868666
num,chi2_cont,2,FI,neg,IF,-0.4274870316243154,0.0034006728749380035,0.05441076599900806
num,chi2_cont,2,FI,neg,citation,0.12684795291649878,0.4063473752054876,0.9339156788007368
num,chi2_cont,2,FI,neg,h_index,0.05714731216997902,0.7125296066854168,0.9339156788007368
num,chi2_cont,2,FI,neg,plum1,-0.2058571071198339,0.17489129606432857,0.9339156788007368
num,chi2_cont,2,FI,neg,plum2,-0.12775521592038674,0.41426321058326643,0.9339156788007368
num,chi2_cont,2,FI,neg,wcitation,0.19646561721846192,0.25079214394616245,0.9339156788007368
num,chi2_cont,2,FI,phn,IF,-0.08476619223411672,0.3395229200012263,0.8827595920031883
num,chi2_cont,2,FI,phn,citation,-0.04284474712087704,0.6297293893137246,0.9410793731484912
num,chi2_cont,2,FI,phn,h_index,-0.12443053669216297,0.16003021300294804,0.8827595920031883
num,chi2_cont,2,FQ,bbd,IF,-0.19074905334970615,0.03239528368806729,0.2591622695045383
num,chi2_cont,2,FQ,bbd,citation,0.01833112633461659,0.8385623205248034,0.8385623205248034
num,chi2_cont,2,FQ,bbd,h_index,0.07650617762081723,0.3945084304589175,0.8135646215616466
num,chi2_cont,2,FQ,bbd,plum1,0.02329753359276916,0.7956792137404718,0.8385623205248034
num,chi2_cont,2,FQ,bbd,plum2,0.02880047417818282,0.7488705266567116,0.8385623205248034
num,chi2_cont,2,FQ,bbd,wcitation,-0.02410716845582218,0.7887421487266438,0.8385623205248034
num,chi2_cont,2,FQ,neg,IF,-0.09641971797712774,0.5286470351248841,0.989307512050867
num,chi2_cont,2,FQ,neg,citation,0.03462033717034794,0.8213782891933534,0.989307512050867
num,chi2_cont,2,FQ,neg,h_index,0.12924288291464783,0.4030789148026467,0.989307512050867
num,chi2_cont,2,FQ,neg,plum1,-0.044596066433698525,0.7711386337117045,0.989307512050867
num,chi2_cont,2,FQ,neg,plum2,-0.12594026108624162,0.42098021766160443,0.989307512050867
num,chi2_cont,2,FQ,neg,wcitation,0.17253589168569172,0.31429398581084084,0.989307512050867
num,chi2_cont,2,FQ,phn,IF,0.017304698472067993,0.8456707731865593,0.958469131063159
num,chi2_cont,2,FQ,phn,citation,0.06665884359840205,0.4529144128277419,0.958469131063159
num,chi2_cont,2,FQ,phn,h_index,-0.05448591429853764,0.539695569330563,0.958469131063159
num,fisher,1,FI,bbd,IF,-0.12725724894399776,0.155606817857114,0.35567272653054627
num,fisher,1,FI,bbd,citation,-0.015025304333801196,0.8673801557021636,0.9252054994156412
num,fisher,1,FI,bbd,h_index,0.17169182338168187,0.05456442423264591,0.1746061575444669
num,fisher,1,FI,bbd,plum1,0.09483805678679866,0.290818394687639,0.5170104794446915
num,fisher,1,FI,bbd,plum2,0.02645926796304943,0.7686845212934235,0.8875297186182556
num,fisher,1,FI,bbd,wcitation,-0.02553034464270168,0.7765885037909737,0.8875297186182556
num,fisher,1,FI,neg,IF,-0.41805619736133554,0.004268033709676058,0.06828853935481692
num,fisher,1,FI,neg,citation,0.10811323439928557,0.479620377483827,0.9616938232332884
num,fisher,1,FI,neg,h_index,0.058247827190868406,0.7072377091716595,0.9616938232332884
num,fisher,1,FI,neg,plum1,-0.1832172357365745,0.22831821662757268,0.9616938232332884
num,fisher,1,FI,neg,plum2,-0.13975511146884093,0.3714136262662415,0.9616938232332884
num,fisher,1,FI,neg,wcitation,0.16729638939288644,0.3294366445504655,0.9616938232332884
num,fisher,1,FI,phn,IF,-0.12029068364404151,0.17450255672855547,0.7067840643642096
num,fisher,1,FI,phn,citation,-0.04746373343533994,0.5932457494817488,0.8167631767357992
num,fisher,1,FI,phn,h_index,-0.14415902744248077,0.10311827990258186,0.6702688193667821
num,fisher,1,FQ,bbd,IF,-0.16457569219949025,0.0655447769960696,0.34957214397903785
num,fisher,1,FQ,bbd,citation,0.03271537047592659,0.7161069742017105,0.8528542678604645
num,fisher,1,FQ,bbd,h_index,0.051668561487572054,0.5655740433490473,0.8528542678604645
num,fisher,1,FQ,bbd,plum1,0.022846479664538306,0.7995508761191854,0.8528542678604645
num,fisher,1,FQ,bbd,plum2,0.0336726300750884,0.7081710547565181,0.8528542678604645
num,fisher,1,FQ,bbd,wcitation,-0.02817574546575208,0.7541423048893492,0.8528542678604645
num,fisher,1,FQ,neg,IF,-0.09232066062837004,0.5463963722266064,0.9888565562939393
num,fisher,1,FQ,neg,citation,-0.003659623045883557,0.9809652946591305,0.9888565562939393
num,fisher,1,FQ,neg,h_index,0.12425917205708027,0.42160768902274226,0.9888565562939393
num,fisher,1,FQ,neg,plum1,0.0021423158192472604,0.9888565562939393,0.9888565562939393
num,fisher,1,FQ,neg,plum2,-0.09112904246066283,0.5611219883455107,0.9888565562939393
num,fisher,1,FQ,neg,wcitation,0.14458606926741338,0.400160784748808,0.9888565562939393
num,fisher,1,FQ,phn,IF,-0.03894484721976076,0.6612490049244382,0.8787580211029514
num,fisher,1,FQ,phn,citation,0.052971433731147516,0.5510398582674035,0.8787580211029514
num,fisher,1,FQ,phn,h_index,-0.061231182366444925,0.4906152222296001,0.8787580211029514
num,fisher,2,FI,bbd,IF,-0.1392205741720443,0.12000463479960072,0.2742963081133731
num,fisher,2,FI,bbd,citation,0.010431209354778271,0.9077110009567315,0.9499373438146358
num,fisher,2,FI,bbd,h_index,0.1813919258298955,0.04208059820632813,0.13465791426025003
num,fisher,2,FI,bbd,plum1,0.09279542634240708,0.3013807888300385,0.5357880690311796
num,fisher,2,FI,bbd,plum2,0.021689662290265827,0.809502583432065,0.9499373438146358
num,fisher,2,FI,bbd,wcitation,-0.005649634576124083,0.9499373438146358,0.9499373438146358
num,fisher,2,FI,neg,IF,-0.41805619736133554,0.004268033709676058,0.06828853935481692
num,fisher,2,FI,neg,citation,0.10811323439928557,0.479620377483827,0.9616938232332884
num,fisher,2,FI,neg,h_index,0.058247827190868406,0.7072377091716595,0.9616938232332884
num,fisher,2,FI,neg,plum1,-0.1832172357365745,0.22831821662757268,0.9616938232332884
num,fisher,2,FI,neg,plum2,-0.13975511146884093,0.3714136262662415,0.9616938232332884
num,fisher,2,FI,neg,wcitation,0.16729638939288644,0.3294366445504655,0.9616938232332884
num,fisher,2,FI,phn,IF,-0.07019492140428141,0.42924941331833877,0.9300403955230673
num,fisher,2,FI,phn,citation,-0.04790582303981862,0.5898045724193374,0.9391421547811938
num,fisher,2,FI,phn,h_index,-0.12591722818314663,0.15505800625791616,0.7359775295516888
num,fisher,2,FQ,bbd,IF,-0.20955712692193906,0.018520649453985624,0.1662406359079663
num,fisher,2,FQ,bbd,citation,0.014745069182252947,0.8698316298572633,0.9862518803840118
num,fisher,2,FQ,bbd,h_index,0.054006929278923844,0.548091054580063,0.8769456873281009
num,fisher,2,FQ,bbd,plum1,-0.0015505622730285667,0.9862518803840118,0.9862518803840118
num,fisher,2,FQ,bbd,plum2,0.002872239729910423,0.9745362032575313,0.9862518803840118
num,fisher,2,FQ,bbd,wcitation,-0.04553704340557948,0.6126316217327026,0.8792335658973448
num,fisher,2,FQ,neg,IF,-0.09232066062837004,0.5463963722266064,0.9888565562939393
num,fisher,2,FQ,neg,citation,-0.003659623045883557,0.9809652946591305,0.9888565562939393
num,fisher,2,FQ,neg,h_index,0.12425917205708027,0.42160768902274226,0.9888565562939393
num,fisher,2,FQ,neg,plum1,0.0021423158192472604,0.9888565562939393,0.9888565562939393
num,fisher,2,FQ,neg,plum2,-0.09112904246066283,0.5611219883455107,0.9888565562939393
num,fisher,2,FQ,neg,wcitation,0.14458606926741338,0.400160784748808,0.9888565562939393
num,fisher,2,FQ,phn,IF,0.0219663532267435,0.8048376099406178,0.9135334846264513
num,fisher,2,FQ,phn,citation,0.056405386541314634,0.5254856917154253,0.9135334846264513
num,fisher,2,FQ,phn,h_index,-0.04703579939487876,0.5965853695267919,0.9135334846264513
fac,chi2,1,FI,bbd,blinding,14.70927057039542,0.002082731335384706,0.008330925341538824
fac,chi2,1,FI,bbd,concealment,19.28684080476212,0.00023848870622918112,0.001907909649833449
fac,chi2,1,FI,bbd,funding,0.002061059764518859,0.9637893608892574,0.9637893608892574
fac,chi2,1,FI,bbd,geo,29.426956629863536,0.4430023669603244,0.6443670792150173
fac,chi2,1,FI,bbd,journal,49.52755029330447,0.682963535150184,0.8534079176079981
fac,chi2,1,FI,bbd,outcome,0.7998680933632013,0.37113281036233436,0.593812496579735
fac,chi2,1,FI,bbd,power_just,0.8716487553650969,0.35049926754801985,0.593812496579735
fac,chi2,1,FI,bbd,statistician,2.2309178770407208,0.13527346557113007,0.3607292415230135
fac,chi2,1,FI,bbd,study_design,14.531000181247025,0.00013787203521656622,0.001907909649833449
fac,chi2,1,FI,bbd,type_random,17.978903829644278,0.0012458687676863193,0.006644633427660369
fac,chi2,1,FI,neg,blinding,0.005109282916778323,0.943016339879546,0.9780535773685143
fac,chi2,1,FI,neg,concealment,0.0007567577897271828,0.9780535773685143,0.9780535773685143
fac,chi2,1,FI,neg,funding,0.04256762567241374,0.8365415563953968,0.9780535773685143
fac,chi2,1,FI,neg,geo,10.522121469817254,0.8803017437665388,0.9780535773685143
fac,chi2,1,FI,neg,journal,17.89534898250033,0.3300606479102629,0.939514365283153
fac,chi2,1,FI,neg,outcome,1.3140626045080663,0.2516604139825709,0.939514365283153
fac,chi2,1,FI,neg,power_just,0.04256762567241374,0.8365415563953968,0.9780535773685143
fac,chi2,1,FI,neg,statistician,0.16150318683310813,0.6877763233843998,0.9780535773685143
fac,chi2,1,FI,neg,study_design,0.0007567577897271828,0.9780535773685143,0.9780535773685143
fac,chi2,1,FI,neg,type_random,0.2543629450977647,0.8805738581141136,0.9780535773685143
fac,chi2,1,FI,phn,blinding,0.09471696977893558,0.9537454329733395,0.9537454329733395
fac,chi2,1,FI,phn,concealment,0.5519703556617986,0.45751372369937215,0.8844690564675142
fac,chi2,1,FI,phn,funding,0.322132429782749,0.5703289421833998,0.8844690564675142
fac,chi2,1,FI,phn,geo,20.35377326039361,0.7280303665887125,0.8844690564675142
fac,chi2,1,FI,phn,journal,28.779179675636716,0.5807328144291822,0.8844690564675142
fac,chi2,1,FI,phn,outcome,1.178213439728475,0.27772000401732777,0.8844690564675142
fac,chi2,1,FI,phn,power_just,0.053886769397340994,0.8164329752007824,0.8844690564675142
fac,chi2,1,FI,phn,statistician,0.23249069653582757,0.6296831330531765,0.8844690564675142
fac,chi2,1,FI,phn,study_design,1.1838499332010102,0.2765736170941505,0.8844690564675142
fac,chi2,1,FI,phn,type_random,1.677188028512562,0.7948571568318294,0.8844690564675142
fac,chi2,1,FQ,bbd,blinding,3.630599341191812,0.3042146399925705,0.8818915954795186
fac,chi2,1,FQ,bbd,concealment,7.64854889815657,0.05386196699974678,0.3678335001621947
fac,chi2,1,FQ,bbd,funding,2.8397525373336423,0.09195837504054867,0.3678335001621947
fac,chi2,1,FQ,bbd,geo,27.20640989584157,0.5605696843215131,0.8818915954795186
fac,chi2,1,FQ,bbd,journal,42.9158648207936,0.8818915954795186,0.8818915954795186
fac,chi2,1,FQ,bbd,outcome,0.2624191006859951,0.6084630501142464,0.8818915954795186
fac,chi2,1,FQ,bbd,power_just,0.2868395039119254,0.5922530054893897,0.8818915954795186
fac,chi2,1,FQ,bbd,statistician,4.338458174100964,0.03726065118628259,0.3678335001621947
fac,chi2,1,FQ,bbd,study_design,0.18738557742833403,0.6651015450840233,0.8818915954795186
fac,chi2,1,FQ,bbd,type_random,2.0572343462307856,0.7252326292304899,0.8818915954795186
fac,chi2,1,FQ,neg,blinding,0.0,1.0,1.0
fac,chi2,1,FQ,neg,concealment,0.09022794249183448,0.7638875737409851,1.0
fac,chi2,1,FQ,neg,funding,0.1014960785605953,0.7500416147183715,1.0
fac,chi2,1,FQ,neg,geo,13.710756575747032,0.6874601044915685,1.0
fac,chi2,1,FQ,neg,journal,15.755332052702382,0.4701634674125208,1.0
fac,chi2,1,FQ,neg,outcome,0.18791273973503933,0.6646595334203794,1.0
fac,chi2,1,FQ,neg,power_just,0.0020713485420489034,0.963699154168804,1.0
fac,chi2,1,FQ,neg,statistician,0.00994626205406548,0.9205579298114296,1.0
fac,chi2,1,FQ,neg,study_design,0.09022794249183448,0.7638875737409851,1.0
fac,chi2,1,FQ,neg,type_random,0.298731105175195,0.861254223637777,1.0
fac,chi2,1,FQ,phn,blinding,1.4929373793390388,0.474037574339909,0.8603102686748233
fac,chi2,1,FQ,phn,concealment,0.16547378568889767,0.6841661308121652,0.8603102686748233
fac,chi2,1,FQ,phn,funding,0.4000326503823593,0.5270723953332608,0.8603102686748233
fac,chi2,1,FQ,phn,geo,20.217266432718535,0.7353374443761898,0.8603102686748233
fac,chi2,1,FQ,phn,journal,34.18419153056516,0.31724452286567145,0.8603102686748233
fac,chi2,1,FQ,phn,outcome,2.4087234905761488,0.12066072116999901,0.8603102686748233
fac,chi2,1,FQ,phn,power_just,0.6773491372431588,0.41050103638243696,0.8603102686748233
fac,chi2,1,FQ,phn,statistician,1.8396791467766886,0.1749885578608373,0.8603102686748233
fac,chi2,1,FQ,phn,study_design,0.21480187458080957,0.6430294977103732,0.8603102686748233
fac,chi2,1,FQ,phn,type_random,1.30627335350161,0.8603102686748233,0.8603102686748233
fac,chi2,2,FI,bbd,blinding,12.940058489830193,0.004768041884654777,0.01907216753861911
fac,chi2,2,FI,bbd,concealment,16.555788751709635,0.0008720822896938736,0.006976658317550989
fac,chi2,2,FI,bbd,funding,0.012909725750972717,0.9095382601108339,0.916054975060483
fac,chi2,2,FI,bbd,geo,26.970909408682353,0.5732746838832723,0.8240215206193288
fac,chi2,2,FI,bbd,journal,51.83741011763237,0.5962277698980106,0.8240215206193288
fac,chi2,2,FI,bbd,outcome,0.2486657417680029,0.6180161404644966,0.8240215206193288
fac,chi2,2,FI,bbd,power_just,1.208602990443202,0.2716089726440306,0.5373599560789304
fac,chi2,2,FI,bbd,statistician,2.2099377849497697,0.13712420102292708,0.36566453606113886
fac,chi2,2,FI,bbd,study_design,12.321713167759174,0.000447719599117193,0.006976658317550989
fac,chi2,2,FI,bbd,type_random,16.50890868896897,0.0024070596030350785,0.012837651216187086
fac,chi2,2,FI,neg,blinding,0.0051089412044377155,0.9430182422214974,0.9780543110915711
fac,chi2,2,FI,neg,concealment,0.000756707177247934,0.9780543110915711,0.9780543110915711
fac,chi2,2,FI,neg,funding,0.042564778720455984,0.8365469454752543,0.9780543110915711
fac,chi2,2,FI,neg,geo,10.521417743127191,0.880335036361908,0.9780543110915711
fac,chi2,2,FI,neg,journal,17.999764161882943,0.323910774716972,0.9334572880614725
fac,chi2,2,FI,neg,outcome,1.3139747191011304,0.25167626986951014,0.9334572880614725
fac,chi2,2,FI,neg,power_just,0.042564778720455984,0.8365469454752543,0.9780543110915711
fac,chi2,2,FI,neg,statistician,0.16149238538936594,0.6877862143749885,0.9780543110915711
fac,chi2,2,FI,neg,study_design,0.000756707177247934,0.9780543110915711,0.9780543110915711
fac,chi2,2,FI,neg,type_random,0.25434593312979403,0.8805813482931043,0.9780543110915711
fac,chi2,2,FI,phn,blinding,0.06267033357987749,0.9691506915080715,0.9691506915080715
fac,chi2,2,FI,phn,concealment,0.6610357837775809,0.4161945106727417,0.9400878655017729
fac,chi2,2,FI,phn,funding,0.023275709967316736,0.8787422821693834,0.9519708056834987
fac,chi2,2,FI,phn,geo,21.058978679313057,0.6893163783758108,0.9400878655017729
fac,chi2,2,FI,phn,journal,24.362943173433884,0.7954589631168848,0.9400878655017729
fac,chi2,2,FI,phn,outcome,1.36554422646966,0.2425789249668852,0.9400878655017729
fac,chi2,2,FI,phn,power_just,0.06800885577025458,0.794258254085642,0.9400878655017729
fac,chi2,2,FI,phn,statistician,0.14153489201355696,0.7067598649245963,0.9400878655017729
fac,chi2,2,FI,phn,study_design,0.9476958006135826,0.3303065057309872,0.9400878655017729
fac,chi2,2,FI,phn,type_random,2.525341049615492,0.6401039070920491,0.9400878655017729
fac,chi2,2,FQ,bbd,blinding,2.2724689515620518,0.517815632676061,0.9142973839155198
fac,chi2,2,FQ,bbd,concealment,6.17569603115671,0.10336818898193137,0.551297007903634
fac,chi2,2,FQ,bbd,funding,1.9973260155737556,0.15757698328289024,0.630307933131561
fac,chi2,2,FQ,bbd,geo,28.6787806039483,0.48188480327377736,0.9142973839155198
fac,chi2,2,FQ,bbd,journal,54.4489513647571,0.495629696051064,0.9142973839155198
